protein1,protein2,combined_score
9606.ENSP00000219070,9606.ENSP00000379350,755
9606.ENSP00000219070,9606.ENSP00000263734,496
9606.ENSP00000219070,9606.ENSP00000371790,518
9606.ENSP00000219070,9606.ENSP00000364140,554
9606.ENSP00000219070,9606.ENSP00000314897,606
9606.ENSP00000219070,9606.ENSP00000282397,731
9606.ENSP00000219070,9606.ENSP00000452786,588
9606.ENSP00000219070,9606.ENSP00000254958,410
9606.ENSP00000219070,9606.ENSP00000313437,585
9606.ENSP00000219070,9606.ENSP00000306512,814
9606.ENSP00000219070,9606.ENSP00000354558,512
9606.ENSP00000219070,9606.ENSP00000332118,611
9606.ENSP00000219070,9606.ENSP00000275493,693
9606.ENSP00000219070,9606.ENSP00000261023,835
9606.ENSP00000219070,9606.ENSP00000362299,475
9606.ENSP00000219070,9606.ENSP00000302486,450
9606.ENSP00000219070,9606.ENSP00000263923,628
9606.ENSP00000219070,9606.ENSP00000360266,633
9606.ENSP00000219070,9606.ENSP00000300060,637
9606.ENSP00000219070,9606.ENSP00000228837,519
9606.ENSP00000219070,9606.ENSP00000351209,408
9606.ENSP00000219070,9606.ENSP00000297904,444
9606.ENSP00000219070,9606.ENSP00000244869,610
9606.ENSP00000219070,9606.ENSP00000362680,972
9606.ENSP00000219070,9606.ENSP00000346032,826
9606.ENSP00000219070,9606.ENSP00000383053,532
9606.ENSP00000219070,9606.ENSP00000265171,657
9606.ENSP00000219070,9606.ENSP00000341189,622
9606.ENSP00000219070,9606.ENSP00000352798,960
9606.ENSP00000219070,9606.ENSP00000451040,459
9606.ENSP00000219070,9606.ENSP00000188790,523
9606.ENSP00000219070,9606.ENSP00000351273,490
9606.ENSP00000219070,9606.ENSP00000261799,571
9606.ENSP00000219070,9606.ENSP00000346839,756
9606.ENSP00000219070,9606.ENSP00000350896,560
9606.ENSP00000219070,9606.ENSP00000356954,839
9606.ENSP00000219070,9606.ENSP00000315011,444
9606.ENSP00000219070,9606.ENSP00000437955,731
9606.ENSP00000219070,9606.ENSP00000369375,482
9606.ENSP00000219070,9606.ENSP00000353654,783
9606.ENSP00000219070,9606.ENSP00000225831,704
9606.ENSP00000219070,9606.ENSP00000274625,531
9606.ENSP00000219070,9606.ENSP00000493716,554
9606.ENSP00000219070,9606.ENSP00000339191,690
9606.ENSP00000219070,9606.ENSP00000457421,750
9606.ENSP00000219070,9606.ENSP00000307235,573
9606.ENSP00000219070,9606.ENSP00000379287,507
9606.ENSP00000219070,9606.ENSP00000246006,441
9606.ENSP00000219070,9606.ENSP00000264664,527
9606.ENSP00000219070,9606.ENSP00000280357,457
9606.ENSP00000219070,9606.ENSP00000363827,655
9606.ENSP00000219070,9606.ENSP00000284240,461
9606.ENSP00000219070,9606.ENSP00000416330,621
9606.ENSP00000219070,9606.ENSP00000381097,446
9606.ENSP00000219070,9606.ENSP00000317272,703
9606.ENSP00000219070,9606.ENSP00000212015,449
9606.ENSP00000219070,9606.ENSP00000293379,481
9606.ENSP00000219070,9606.ENSP00000371067,523
9606.ENSP00000219070,9606.ENSP00000297494,531
9606.ENSP00000219070,9606.ENSP00000252804,692
9606.ENSP00000219070,9606.ENSP00000393312,616
9606.ENSP00000219070,9606.ENSP00000260356,985
9606.ENSP00000222145,9606.ENSP00000361097,400
9606.ENSP00000222145,9606.ENSP00000304945,511
9606.ENSP00000222145,9606.ENSP00000495360,470
9606.ENSP00000222145,9606.ENSP00000378015,754
9606.ENSP00000222145,9606.ENSP00000263923,437
