adr_id,compound_id,source
C0010200,CHEMBL535,SIDER
C0010520,CHEMBL535,SIDER
C0011570,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013395,CHEMBL535,SIDER
C0013404,CHEMBL535,SIDER
C0013595,CHEMBL535,SIDER
C0013604,CHEMBL535,SIDER
C0014130,CHEMBL535,SIDER
C0014591,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0015672,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0016204,CHEMBL535,SIDER
C0016382,CHEMBL535,SIDER
C0017152,CHEMBL535,SIDER
C0017178,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0018799,CHEMBL535,SIDER
C0018801,CHEMBL535,SIDER
C0018965,CHEMBL535,SIDER
C0019080,CHEMBL535,SIDER
C0518015,CHEMBL535,SIDER
C0019123,CHEMBL535,SIDER
C0020437,CHEMBL535,SIDER
C0020453,CHEMBL535,SIDER
C0020461,CHEMBL535,SIDER
C0020517,CHEMBL535,SIDER
C0020532,CHEMBL535,SIDER
C0020550,CHEMBL535,SIDER
C0020580,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0020651,CHEMBL535,SIDER
C0023218,CHEMBL535,SIDER
C0037763,CHEMBL535,SIDER
C0025061,CHEMBL535,SIDER
C0026858,CHEMBL535,SIDER
C0027051,CHEMBL535,SIDER
C0948089,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0027765,CHEMBL535,SIDER
C0027769,CHEMBL535,SIDER
C0233494,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0030232,CHEMBL535,SIDER
C0030252,CHEMBL535,SIDER
C0030312,CHEMBL535,SIDER
C0030554,CHEMBL535,SIDER
C0031350,CHEMBL535,SIDER
C0032227,CHEMBL535,SIDER
C0032285,CHEMBL535,SIDER
C0032326,CHEMBL535,SIDER
C0033774,CHEMBL535,SIDER
C0034063,CHEMBL535,SIDER
C0034065,CHEMBL535,SIDER
C0035455,CHEMBL535,SIDER
C0036690,CHEMBL535,SIDER
C0243026,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0037199,CHEMBL535,SIDER
C0037299,CHEMBL535,SIDER
C0038002,CHEMBL535,SIDER
C0038990,CHEMBL535,SIDER
C0020458,CHEMBL535,SIDER
C0039070,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0039971,CHEMBL535,SIDER
C0040034,CHEMBL535,SIDER
C0040822,CHEMBL535,SIDER
C0042029,CHEMBL535,SIDER
C0042109,CHEMBL535,SIDER
C0042373,CHEMBL535,SIDER
